state,district,school_name,School Management,Address,Class,Edu. District,Edu. Block,LGD Block,LGD Panchayat,LGD Village,LGD Ward,class,School Type,School Category,School Location,School Type,State,Urban Local Body
GUJARAT,AHMEDABAD,ADARSH NIVASI SHALA,90-Social Welfare Dept.,maheshjvarinagar odhav ahmedabad,9 To 12,Ahmedabad,Amc,NA,,,"Odhav, Ahmedabad (M.Corp.) Ward No. 40",,,10-Secondary with Higher Secondary,2-Urban,1-Boys,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADARSH NIVASI SHALA(SC) GIRLS,4-Government Aided,"9 samrpan estate,opp anand tenaments,gst crossing road",,Ahmedabad,City,NA,,,"Ranip, Ahmedabad (M.Corp.) Ward No. 5",9 To 12,2-Girls,10-Secondary with Higher Secondary,2-Urban,,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADARSH PRATHMIK SHALA,5-Pvt. Unaided (Recognized),ADARSH PRATHMIK SHALA MADHUPURA AHMEDABAD,,Ahmedabad,Amc,NA,,,"Dariyapur, Ahmedabad (M.Corp.) Ward No. 21",1 To 8,3-Co-educational,2-Primary with Upper Primary,2-Urban,,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADARSH PRIMARY SCHOOL GATRAD,3-Local Body,"AT.GATARAD, POST.JANATANAR, TA-DASKROIDIST.AHMEDABAD",,Ahmedabad,Dascroi,Daskroi,Gatrad,Gatrad,,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,AHMEDABAD,ADARSH PRIMARY SCHOOL HEBATPUR,3-Local Body,AADARSH PRIMARY SCHOOL HEBATPUR TAL DHOLERA DIST AHMEDABAD - 382455,,Ahmedabad,Dholera,Dholera,Devpura,Hebatpur,,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,AHMEDABAD,ADARSH PRIMARY SCHOOL TRANSAD,3-Local Body,ADARSH PRIMARY SCHOOL TRANSAD AT TRANSAD TA DHOLKA DIST AHMEDABAD,,Ahmedabad,Dholka,Dholka,Transad,Transad,,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,AHMEDABAD,ADARSH PRI. SCHOOL,5-Pvt. Unaided (Recognized),9 A BHARAT SOCIETY VED MANDIR ROAD KANKARIA AHMEDABAD,1 To 8,Ahmedabad,Amc,NA,,,"Khadiya, Ahmedabad (M.Corp.) Ward No. 28",1 To 8,3-Co-educational,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADARSH PRI.SCHOOL,10-Municipal School Board (MSB),"ADARSH PRI SCHOOL, RATANPURA TA-DASKROI, AHMEDABAD",1 To 8,Ahmedabad,Amc,NA,,,"Vastral, Ahmedabad (M.Corp.) Ward No. 41",1 To 8,3-Co-educational,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADARSH SHAHLA CHA.VASANA,3-Local Body,"AT-CHA.VASANA, TA-SANAND, DIST-AHMEDABAD",,Ahmedabad,Sanand,Sanand,Vasna Chacharavadi,Vasna Chacharavadi (Og),,1 To 8,3-Co-educational,2-Primary with Upper Primary,1-Rural,,Gujarat,
GUJARAT,AHMEDABAD,ADARSH SHALA BHAYALA,3-Local Body,BHAYALA TA BAVLA DIST AHMEDABAD,1 To 8,Ahmedabad,Bavla,Bavla,Bhayla,Bhayla,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,AHMEDABAD,ADARSH VIDHYALAY,5-Pvt. Unaided (Recognized),opp shyamvilla 2 niol,12 To 12,Ahmedabad,City,NA,NA,NA,"Nikol, Ahmedabad (M.Corp.) Ward No. 24",,,11-Higher Secondary only/Jr. College,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADARSH VIDHYALAY NANA CHILODA,4-Government Aided,SHRINATHJI PARK NANA CHILODA NARODA AHEMDABAD-382330,,Ahmedabad,Amc,NA,,,"Naroda, Ahmedabad (M.Corp.) Ward No. 12",9 To 12,3-Co-educational,10-Secondary with Higher Secondary,2-Urban,,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADARSH VIDHYALAY SECONDARY,5-Pvt. Unaided (Recognized),"KRISHNANAGAR,LAMBHA,TA DASKROI,DIST AHMEDABAD",,Ahmedabad,Dascroi,Daskroi,NA,NA,,9 To 12,3-Co-educational,10-Secondary with Higher Secondary,1-Rural,,Gujarat,
GUJARAT,AHMEDABAD,ADARSH VIDHYAVIHAR,4-Government Aided,"JAWAHAR CHOWK, SABARMATI, AHMEDABAD",9 To 12,Ahmedabad,Amc,NA,,,"Sabarmati, Ahmedabad (M.Corp.) Ward No. 4",,,10-Secondary with Higher Secondary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADARSH VIDYALAY,5-Pvt. Unaided (Recognized),AT CHALODA TA DHOLKA DIST AHMEDABAD,1 To 8,Ahmedabad,Dholka,Dholka,Chaloda,Chaloda,,,,2-Primary with Upper Primary,1-Rural,3-Co-educational,Gujarat,
GUJARAT,AHMEDABAD,ADESH ENGLISH MEDIUM SCHOOL,5-Pvt. Unaided (Recognized),ADESH ENGLISH MEDIUM SCHOOL NR GEB KALIKUNAD ROAD DHOLKA,,Ahmedabad,Dholka,NA,,,Dholka (M) - Ward No.2,1 To 8,3-Co-educational,2-Primary with Upper Primary,2-Urban,,Gujarat,Dholka-Municipality
GUJARAT,AHMEDABAD,ADHYASHAKTI PRIMARY SCHOOL,5-Pvt. Unaided (Recognized),near vidhata societyghatlodiya,1 To 8,Ahmedabad,Amc,NA,,,"Ghatlodiya, Ahmedabad (M.Corp.) Ward No. 7",,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,ADINATH NAGAR PRI SCHOOL,10-Municipal School Board (MSB),"near ambaji mata temple ,adinathnagar nava odhav ahmedabad 382415",,Ahmedabad,Amc,NA,,,"Odhav, Ahmedabad (M.Corp.) Ward No. 40",1 To 8,3-Co-educational,2-Primary with Upper Primary,2-Urban,,Gujarat,Ahmadabad-Municipal Corporations
